Date,Taxa SELIC,SELIC_daylly,r_SELIC,a,b,c,aloc,k1,k2,r_ef,var_ef,k3
2009-03-30,0.25,1.0000068407910654,0.0003420968851615136,0.034794532353184235,-0.03719657817310519,0.010487533185442958,[ 0.79  0.02 -0.15  0.34],1.4884950588014263,0.0009151805047674781,0.5639165557469024,0.0005764937027400281,1.3698248128462396
2009-03-31,0.25,1.0000068407910654,0.0003420968851615136,0.033403086621651805,-0.03530153889559806,0.009887716446348489,[ 0.79  0.04 -0.17  0.34],1.4106010650549952,0.0009592521867864965,0.560206722774351,0.0005945002249488416,1.288513479909358
2009-04-01,0.25,1.0000068407910654,0.0003420968851615136,0.03143932155832535,-0.033035464487140793,0.00923404431635269,[ 0.83  0.01 -0.18  0.33],1.3334635540209645,0.0009610432417387528,0.5590601888996627,0.0005915376429009542,1.2112961532346123
2009-04-02,0.25,1.0000068407910654,0.0003420968851615136,0.025788054986718618,-0.026599952312804737,0.0074503569388000915,[ 0.83  0.04 -0.23  0.36],1.0607750741404638,0.0010520653326197785,0.5602077124536361,0.0006419929389115845,0.9340731415585528
2009-04-03,0.25,1.0000068407910654,0.0003420968851615136,0.026237128352778208,-0.02692838232262643,0.007518753541609552,[ 0.84  0.03 -0.22  0.34],1.062927776851509,0.0010942234858521119,0.5584561222215555,0.0006630918114140082,0.9332448395113286
2009-04-06,0.25,1.0000068407910654,0.0003420968851615136,0.027326424290236698,-0.02789629102393537,0.007758773147058916,[ 0.85  0.03 -0.21  0.33],1.0807944974829613,0.0011589567927785976,0.5562891405521784,0.0006967392819759444,0.9466509224710142
2009-04-07,0.25,1.0000068407910654,0.0003420968851615136,0.028189020225034243,-0.028292155496025564,0.007763160702911954,[ 0.87  0.01 -0.13  0.25],1.093745469495787,0.001243137906871032,0.5488174153126667,0.0007264815965252628,0.9527943494380509
2009-04-08,0.25,1.0000068407910654,0.0003420968851615136,0.029966700409517315,-0.02966331682181766,0.008030733114795442,[ 0.93 -0.08  0.    0.14],1.1408277172591605,0.0013261412943682647,0.5414910545904724,0.000754925414097467,0.9929865673094732
2009-04-09,0.25,1.0000068407910654,0.0003420968851615136,0.03140980245293542,-0.030672119221853547,0.008221471935649965,[ 0.98 -0.12  0.05  0.09],1.1597270024750845,0.001445008026522141,0.5361211714651757,0.0008054905155565762,1.0036170691118809
2009-04-13,0.25,1.0000068407910654,0.0003420968851615136,0.03234924502175312,-0.03140080155460704,0.008404559692204898,[ 1.02 -0.18  0.12  0.04],1.154948441741327,0.0015597329353911153,0.5353438537425991,0.000865402106131015,0.9923701229730594
2009-04-14,0.25,1.0000068407910654,0.0003420968851615136,0.03239080843494094,-0.03137182119244571,0.008409672111413434,[ 1.02 -0.18  0.11  0.04],1.1356813336328915,0.001621239252853387,0.5361656947258724,0.0009006818054813891,0.9701856952785586
2009-04-15,0.25,1.0000068407910654,0.0003420968851615136,0.03260111617548813,-0.03150169357210738,0.008474062954735793,[ 1.01 -0.17  0.13  0.03],1.1089673845302896,0.0017251258535208836,0.5380456960911773,0.0009625128111428625,0.9388257685721301
2009-04-16,0.25,1.0000068407910654,0.0003420968851615136,0.03281197476712478,-0.03128281443755567,0.008385583183753483,[ 0.97 -0.14  0.17 -0.01],1.0763212041536931,0.0018956259971596014,0.5361570404237394,0.0010453556991668733,0.8973244690800116
2009-04-17,0.25,1.0000068407910654,0.0003420968851615136,0.03212525004599,-0.02995927105908232,0.007972103771312269,[ 0.89 -0.04  0.21 -0.06],1.022417321182386,0.0020891684702853634,0.5322445000948166,0.0011270225355290502,0.8332865399599755
2009-04-20,0.25,1.0000068407910654,0.0003420968851615136,0.031337076503138994,-0.028568287023733447,0.007507300827806584,[ 0.83  0.05  0.2  -0.08],0.9928200531395506,0.002195140617149775,0.5256212307299987,0.0011489373802226663,0.7966779717591811
2009-04-21,0.25,1.0000068407910654,0.0003420968851615136,0.029666110804442775,-0.026026231817071872,0.006675194479603862,[ 0.77  0.17  0.15 -0.08],0.9540186897886883,0.002285222128011186,0.5130169612863283,0.001131013099864989,0.7493235921791125
2009-04-22,0.25,1.0000068407910654,0.0003420968851615136,0.02698422536795561,-0.022521129918245706,0.0056076773564571235,[ 0.72  0.29  0.03 -0.05],0.8951955773129386,0.0023499719856452644,0.49805874413790435,0.001084606418478733,0.6819299396722437
2009-04-23,0.25,1.0000068407910654,0.0003420968851615136,0.025933691693003063,-0.020723477631080005,0.005005502121312641,[ 0.66  0.42 -0.02 -0.06],0.8815190536830463,0.0024257888784837652,0.48314707531865103,0.0010467445987359808,0.6583392711147649
2009-04-24,0.25,1.0000068407910654,0.0003420968851615136,0.025902385838475015,-0.019913706928315997,0.004675510745188789,[ 0.71  0.42 -0.04 -0.09],0.8894363263309389,0.0025538028139165583,0.4696530091286088,0.0010363698958881556,0.6538216720552059
2009-04-27,0.25,1.0000068407910654,0.0003420968851615136,0.02558803707556869,-0.0188612759346278,0.004271934363785068,[ 0.76  0.43 -0.06 -0.13],0.9068236177699567,0.0025997877764744807,0.4530631028740099,0.0009789446656947916,0.6604256631349998
2009-04-28,0.25,1.0000068407910654,0.0003420968851615136,0.024618860401426815,-0.017184727986372602,0.003713405511767172,[ 0.81  0.44 -0.05 -0.2 ],0.9209912566783315,0.002592223289783,0.4322566612264883,0.000885123556381544,0.6632899116796485
2009-04-29,0.25,1.0000068407910654,0.0003420968851615136,0.023379501917511692,-0.015697532787197297,0.003336405703456904,[ 0.86  0.4   0.01 -0.28],0.8827262948808926,0.0027184752447094855,0.42517780412125866,0.0008886198818769846,0.6145823643696289
2009-04-30,0.25,1.0000068407910654,0.0003420968851615136,0.021699239832446007,-0.013770946225669106,0.002859461391554071,[ 0.91  0.38  0.03 -0.32],0.8354491017448419,0.00287493708197694,0.41539476253477,0.0008833472349032101,0.5533048853849561
2009-05-01,0.25,1.0000068407910654,0.0003420968851615136,0.02010276435278358,-0.012180117867678353,0.002500676260928806,[ 0.97  0.32  0.11 -0.4 ],0.785051526464964,0.0030076457672709713,0.4107378237472562,0.0008892892697758289,0.49314638246451664
2009-05-04,0.25,1.0000068407910654,0.0003420968851615136,0.018348891976540074,-0.010429494634362243,0.0021151814174662086,[ 0.99  0.3   0.18 -0.47],0.7292151802263951,0.0032053948215979827,0.40576164978158624,0.0009043002170227334,0.423716046519606
2009-05-05,0.25,1.0000068407910654,0.0003420968851615136,0.016392980392572778,-0.008710223277858802,0.001747544864718002,[ 0.97  0.33  0.23 -0.53],0.6745880256662701,0.003311225444520064,0.40143775808312004,0.0008926984212369257,0.35994367245425796
